sim_time,nodes,services,generated_traffic_B,average_traffic_Bps
32900,20,1000,6930,49.108814589665656
33000,20,1000,5940,49.14
33100,20,1000,5940,49.17099697885197
33200,20,1000,5940,49.20180722891566
33300,20,1000,5940,49.23243243243243
33400,20,1000,5940,49.262874251497
33500,20,1000,5940,49.29313432835821
33600,20,1000,6930,49.35267857142857
33700,20,1000,6930,49.41186943620178
33800,20,1000,5940,49.441420118343196
33900,20,1000,5940,49.47079646017699
34000,20,1000,5940,49.5
34100,20,1000,5940,49.52903225806452
34200,20,1000,5940,49.55789473684211
34300,20,1000,5940,49.5865889212828
34400,20,1000,6930,49.64389534883721
34500,20,1000,6930,49.70086956521739
34600,20,1000,5940,49.72890173410405
34700,20,1000,5940,49.75677233429395
34800,20,1000,5940,49.78448275862069
34900,20,1000,5940,49.812034383954156
35000,20,1000,5940,49.83942857142857
35100,20,1000,5940,49.86666666666667
35200,20,1000,6930,49.921875
35300,20,1000,6930,49.97677053824363
35400,20,1000,5940,50.003389830508475
35500,20,1000,5940,50.029859154929575
35600,20,1000,5940,50.056179775280896
35700,20,1000,5940,50.082352941176474
35800,20,1000,5940,50.10837988826815
35900,20,1000,5940,50.13426183844011
36000,20,1000,6930,50.1875
36100,20,1000,6930,50.2404432132964
36200,20,1000,5940,50.26574585635359
36300,20,1000,5940,50.29090909090909
36400,20,1000,5940,50.315934065934066
36500,20,1000,5940,50.34082191780822
36600,20,1000,5940,50.36557377049181
36700,20,1000,5940,50.39019073569482
36800,20,1000,5940,50.41467391304348
36900,20,1000,5940,50.4390243902439
37000,20,1000,4950,50.43648648648649
37100,20,1000,4950,50.43396226415094
37200,20,1000,4950,50.431451612903224
37300,20,1000,4950,50.428954423592494
37400,20,1000,4950,50.4264705882353
37500,20,1000,4950,50.424
37600,20,1000,4950,50.421542553191486
37700,20,1000,4950,50.41909814323608
37800,20,1000,3960,50.39047619047619
37900,20,1000,3960,50.36200527704486
38000,20,1000,3960,50.333684210526314
38100,20,1000,3960,50.30551181102362
38200,20,1000,3960,50.27748691099477
38300,20,1000,3960,50.24960835509138
38400,20,1000,3960,50.221875
38500,20,1000,3960,50.19428571428571
38600,20,1000,2970,50.14119170984456
38700,20,1000,2970,50.08837209302325
38800,20,1000,2970,50.03582474226804
38900,20,1000,2970,49.983547557840616
39000,20,1000,2970,49.93153846153846
39100,20,1000,2970,49.87979539641944
39200,20,1000,2970,49.82831632653061
39300,20,1000,2970,49.77709923664122
39400,20,1000,1980,49.70101522842639
39500,20,1000,1980,49.6253164556962
39600,20,1000,1980,49.55
39700,20,1000,1980,49.47506297229219
39800,20,1000,1980,49.40050251256282
39900,20,1000,1980,49.32631578947368
40000,20,1000,1980,49.2525
40100,20,1000,1980,49.179052369077304
40200,20,1000,990,49.081343283582086
40300,20,1000,990,48.98411910669975
40400,20,1000,990,48.88737623762376
40500,20,1000,990,48.791111111111114
40600,20,1000,990,48.69532019704433
40700,20,1000,990,48.6
40800,20,1000,1980,48.529411764705884
40900,20,1000,1980,48.45916870415648
41000,20,1000,990,48.365121951219514
41100,20,1000,990,48.27153284671533
41200,20,1000,990,48.17839805825243
41300,20,1000,990,48.08571428571429
41400,20,1000,990,47.993478260869566
