sim_time,nodes,services,generated_traffic,traffic_per_minute
18748,20,1000,0,947.861105184553
18749,20,1000,0,947.8105498959944
18750,20,1000,9900,948.288
18751,20,1000,0,948.2374273372087
18752,20,1000,0,948.1868600682594
18753,20,1000,0,948.1362981922892
18754,20,1000,0,948.0857417084355
18755,20,1000,0,948.0351906158357
18756,20,1000,0,947.9846449136277
18757,20,1000,0,947.934104600949
18758,20,1000,0,947.8835696769379
18759,20,1000,0,947.8330401407325
18760,20,1000,9900,948.3102345415779
18761,20,1000,0,948.259687649912
18762,20,1000,0,948.2091461464663
18763,20,1000,0,948.1586100303789
18764,20,1000,0,948.1080793007887
18765,20,1000,0,948.0575539568346
18766,20,1000,0,948.0070339976553
18767,20,1000,0,947.9565194223903
18768,20,1000,0,947.906010230179
18769,20,1000,0,947.8555064201609
18770,20,1000,9900,948.3324453915823
18771,20,1000,0,948.2819242448458
18772,20,1000,0,948.2314084807159
18773,20,1000,0,948.1808980983327
18774,20,1000,0,948.1303930968361
18775,20,1000,0,948.0798934753661
18776,20,1000,0,948.0293992330635
18777,20,1000,0,947.9789103690686
18778,20,1000,0,947.9284268825221
18779,20,1000,0,947.8779487725651
18780,20,1000,9900,948.3546325878594
18781,20,1000,0,948.3041371598956
18782,20,1000,0,948.253647108934
18783,20,1000,0,948.2031624341159
18784,20,1000,0,948.1526831345826
18785,20,1000,0,948.1022092094756
18786,20,1000,0,948.0517406579368
18787,20,1000,0,948.0012774791079
18788,20,1000,0,947.9508196721312
18789,20,1000,0,947.9003672361488
18790,20,1000,9900,948.3767961681746
18791,20,1000,0,948.3263264328668
18792,20,1000,0,948.2758620689655
18793,20,1000,0,948.2254030756133
18794,20,1000,0,948.1749494519528
18795,20,1000,0,948.1245011971268
18796,20,1000,0,948.0740583102788
18797,20,1000,0,948.0236207905517
18798,20,1000,0,947.973188637089
18799,20,1000,0,947.9227618490345
18800,20,1000,9900,948.3989361702128
18801,20,1000,0,948.348492101484
18802,20,1000,0,948.2980533985747
18803,20,1000,0,948.2476200606286
18804,20,1000,0,948.1971920867901
18805,20,1000,0,948.1467694762032
18806,20,1000,0,948.0963522280124
18807,20,1000,0,948.0459403413622
18808,20,1000,0,947.9955338153977
18809,20,1000,0,947.9451326492637
18810,20,1000,9900,948.421052631579
18811,20,1000,0,948.3706342033917
18812,20,1000,0,948.3202211354454
18813,20,1000,0,948.2698134268857
18814,20,1000,0,948.2194110768577
18815,20,1000,0,948.169014084507
18816,20,1000,0,948.1186224489796
18817,20,1000,0,948.0682361694213
18818,20,1000,0,948.0178552449783
18819,20,1000,0,947.9674796747968
18820,20,1000,9900,948.4431455897981
18821,20,1000,0,948.3927527761543
18822,20,1000,0,948.342365317182
18823,20,1000,0,948.2919832120278
18824,20,1000,0,948.2416064598385
18825,20,1000,0,948.191235059761
18826,20,1000,0,948.1408690109423
18827,20,1000,0,948.0905083125299
18828,20,1000,0,948.0401529636712
18829,20,1000,0,947.9898029635137
18830,20,1000,9900,948.4652150823155
18831,20,1000,0,948.4148478572566
18832,20,1000,0,948.3644859813085
18833,20,1000,0,948.3141294536186
18834,20,1000,0,948.2637782733354
18835,20,1000,0,948.2134324396071
18836,20,1000,0,948.163091951582
18837,20,1000,0,948.112756808409
18838,20,1000,0,948.0624270092367
18839,20,1000,0,948.012102553214
18840,20,1000,9900,948.4872611464968
18841,20,1000,0,948.4369194841038
18842,20,1000,0,948.386583165269
18843,20,1000,0,948.3362521891419
18844,20,1000,0,948.2859265548716
18845,20,1000,0,948.2356062616078
18846,20,1000,0,948.1852913085005
18847,20,1000,0,948.1349816946994
18848,20,1000,0,948.0846774193549
18849,20,1000,0,948.0343784816171
18850,20,1000,9900,948.5092838196286
18851,20,1000,0,948.4589676940216
18852,20,1000,0,948.408656906429
18853,20,1000,0,948.3583514560017
18854,20,1000,0,948.3080513418903
18855,20,1000,0,948.2577565632458
18856,20,1000,0,948.2074671192194
18857,20,1000,0,948.1571830089622
18858,20,1000,0,948.1069042316259
18859,20,1000,0,948.0566307863619
18860,20,1000,9900,948.5312831389183
18861,20,1000,0,948.4809925242564
18862,20,1000,0,948.430707242074
18863,20,1000,0,948.3804272915231
18864,20,1000,0,948.3301526717557
18865,20,1000,0,948.2798833819242
18866,20,1000,0,948.2296194211809
18867,20,1000,0,948.1793607886787
18868,20,1000,0,948.12910748357
18869,20,1000,0,948.0788595050083
18870,20,1000,9900,948.5532591414944
18871,20,1000,0,948.502994011976
18872,20,1000,0,948.4527342094108
18873,20,1000,0,948.4024797329519
18874,20,1000,0,948.3522305817527
18875,20,1000,0,948.3019867549668
18876,20,1000,0,948.2517482517483
18877,20,1000,0,948.2015150712507
18878,20,1000,0,948.1512872126284
18879,20,1000,0,948.1010646750358
18880,20,1000,9900,948.5752118644068
18881,20,1000,0,948.5249721942694
18882,20,1000,0,948.4747378455672
18883,20,1000,0,948.4245088174548
18884,20,1000,0,948.374285109087
18885,20,1000,0,948.3240667196187
18886,20,1000,0,948.273853648205
18887,20,1000,0,948.2236458940012
18888,20,1000,0,948.1734434561627
18889,20,1000,0,948.1232463338451
18890,20,1000,9900,948.5971413446268
18891,20,1000,0,948.5469271081467
18892,20,1000,0,948.4967181875926
18893,20,1000,0,948.4465145821204
18894,20,1000,0,948.396316290886
18895,20,1000,0,948.3461233130457
18896,20,1000,0,948.2959356477561
18897,20,1000,0,948.2457532941737
18898,20,1000,0,948.1955762514552
18899,20,1000,0,948.1454045187576
18900,20,1000,9900,948.6190476190476
18901,20,1000,0,948.5688587905402
18902,20,1000,0,948.5186752724579
18903,20,1000,0,948.4684970639581
18904,20,1000,0,948.418324164198
18905,20,1000,0,948.3681565723354
18906,20,1000,0,948.3179942875278
18907,20,1000,0,948.2678373089332
18908,20,1000,0,948.2176856357097
18909,20,1000,0,948.1675392670157
18910,20,1000,9900,948.6409307244844
18911,20,1000,0,948.5907672783036
18912,20,1000,0,948.5406091370559
18913,20,1000,0,948.4904562998995
18914,20,1000,0,948.4403087659934
18915,20,1000,0,948.3901665344964
18916,20,1000,0,948.3400296045676
18917,20,1000,0,948.2898979753661
18918,20,1000,0,948.2397716460514
18919,20,1000,0,948.1896506157831
18920,20,1000,9900,948.6627906976744
18921,20,1000,0,948.6126526082131
18922,20,1000,0,948.562519818201
18923,20,1000,0,948.512392326798
18924,20,1000,0,948.4622701331642
18925,20,1000,0,948.4121532364597
18926,20,1000,0,948.3620416358449
18927,20,1000,0,948.3119353304803
18928,20,1000,0,948.2618343195267
18929,20,1000,0,948.2117386021448
18930,20,1000,9900,948.6846275752773
18931,20,1000,0,948.6345148169669
18932,20,1000,0,948.5844073526305
18933,20,1000,0,948.5343051814292
18934,20,1000,0,948.4842083025245
18935,20,1000,0,948.434116715078
18936,20,1000,0,948.384030418251
